IP LINLIN
DP -4.05504 -0.0008298516464368015
DP -3.80928 0.00014136887843560104
DP -3.56352 -0.0011140788608738881
DP -3.31776 2.9382592386058312e-05
DP -3.072 0.0010585509003263255
DP -2.8262400000000003 -2.742293178854205e-05
DP -2.58048 0.0007144705367891489
DP -2.33472 0.0007129088344714681
DP -2.08896 0.0018603685316899202
DP -1.8432 0.0008875137426935204
DP -1.5974400000000002 0.002603108952037142
DP -1.35168 0.003748252090845273
DP -1.10592 0.002430509341381197
DP -0.86016 0.00426215768659764
DP -0.6144000000000001 0.005181905636384205
DP -0.36864 0.005467519801279234
DP -0.12288 0.005409930722469672
DP 0.12288 0.006212595421460154
DP 0.36864 0.005296036248317745
DP 0.6144000000000001 0.005812041252515048
DP 0.86016 0.008678097385011385
DP 1.10592 0.007819468690435162
DP 1.35168 0.007188949924893662
DP 1.5974400000000002 0.005983631176397933
DP 1.8432 0.0074170713235186215
DP 2.08896 0.008106954522622545
DP 2.33472 0.021102012473060924
DP 2.58048 0.02380828689381125
DP 2.8262400000000003 0.026064851152515
DP 3.072 0.025371743017942865
DP 3.31776 0.031088707911012998
DP 3.56352 0.045240670005514814
DP 3.80928 0.05164439923555502
DP 4.05504 0.07628841060507864
DP 4.300800000000001 0.098696400896936
DP 4.5465599999999995 0.13463135275746835
DP 4.79232 0.14632534929086166
DP 5.038080000000001 0.15368636340050762
DP 5.28384 0.14732231941355475
DP 5.5296 0.15637460339410103
DP 5.77536 0.17400195404912605
DP 6.02112 0.16329732147964096
DP 6.2668800000000005 0.15962158121467204
DP 6.51264 0.161453486864527
DP 6.7584 0.1413266594577186
DP 7.004160000000001 0.1331040262624412
DP 7.2499199999999995 0.13241141865261066
DP 7.49568 0.13512071302948478
DP 7.741440000000001 0.13313947010261595
DP 7.9872 0.1186824245087669
DP 8.23296 0.11814410699413981
DP 8.47872 0.10802151977177096
DP 8.72448 0.09784890180726535
DP 8.97024 0.08551661901384415
DP 9.216000000000001 0.07535547499705231
DP 9.46176 0.07095496852523557
DP 9.70752 0.062213096453868695
DP 9.95328 0.053039539097187255
DP 10.19904 0.054505667026276586
DP 10.4448 0.05108469165995938
DP 10.690560000000001 0.04896613438269992
DP 10.93632 0.04414018416961716
DP 11.18208 0.03898922758727605
DP 11.42784 0.039666490414724455
DP 11.6736 0.035434314466981996
DP 11.919360000000001 0.030174905522145624
DP 12.16512 0.028720103118019712
DP 12.41088 0.027682853961908355
DP 12.65664 0.026078150698745892
DP 12.9024 0.02612216540615008
DP 13.14816 0.020641752180430847
DP 13.393920000000001 0.019319014138902402
DP 13.63968 0.0177111635746558
DP 13.885440000000001 0.015464777131692822
DP 14.1312 0.016675689806852682
DP 14.37696 0.014719562555876396
DP 14.622720000000001 0.011904497401599849
DP 14.86848 0.012596436325524183
DP 15.11424 0.011620373795952689
DP 15.36 0.007314872412599727
DP 15.60576 0.006800799042665927
DP 15.85152 0.007203316502877625
DP 16.09728 0.007088398857825605
DP 16.343040000000002 0.007204030597037293
DP 16.5888 0.006857930579059042
DP 16.834560000000003 0.006682962130146627
DP 17.08032 0.0058217949850005385
DP 17.326079999999997 0.0058818134759381436
DP 17.57184 0.004161490410422378
DP 17.8176 0.0041638914545507315
DP 18.063360000000003 0.004737113511532694
DP 18.30912 0.003307313920385987
DP 18.55488 0.003592075922755235
DP 18.80064 0.0026191693030118406
DP 19.0464 0.0017602075725409116
DP 19.292160000000003 0.0033628757004241436
DP 19.53792 0.00250815268489119
DP 19.78368 0.0021613862801323986
DP 20.02944 0.004164438697134083
DP 20.275199999999998 0.004168037025170701
DP 20.520960000000002 0.0015918671150586792
DP 20.76672 0.0014771912319803992
DP 21.012480000000004 0.002106059724553975
DP 21.25824 0.0029644548471514797
DP 21.503999999999998 0.001018301774007594
DP 21.749760000000002 0.0012482427658230585
DP 21.99552 0.0008509446947345069
DP 22.241280000000003 0.0020471860862928625
DP 22.48704 4.8424584581647266e-05
DP 22.732799999999997 0.00016343298724022314
DP 22.97856 0.001819145136521262
DP 23.22432 0.00199179459394516
DP 23.470080000000003 -0.00046459320951888907
DP 23.71584 -0.00012289585810293147
DP 23.9616 0.00016391281593347633
DP 24.20736 0.0009074058669275993
DP 24.45312 0.0015345445546110796
DP 24.698880000000003 -6.542292091812224e-05
EN
