# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at -0.02847 s. Light curve stops at 13.28353 s. Time resolution is 0.05693 s. There are 234 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector n7 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 44.0
DP 0.056933 54.0
DP 0.113866 84.0
DP 0.170799 81.0
DP 0.227732 105.0
DP 0.284665 142.0
DP 0.341597 177.0
DP 0.398530 183.0
DP 0.455463 166.0
DP 0.512396 178.0
DP 0.569329 130.0
DP 0.626262 143.0
DP 0.683195 139.0
DP 0.740128 130.0
DP 0.797061 144.0
DP 0.853994 148.0
DP 0.910926 147.0
DP 0.967859 146.0
DP 1.024792 179.0
DP 1.081725 184.0
DP 1.138658 184.0
DP 1.195591 194.0
DP 1.252524 195.0
DP 1.309457 219.0
DP 1.366390 247.0
DP 1.423323 215.0
DP 1.480255 235.0
DP 1.537188 236.0
DP 1.594121 234.0
DP 1.651054 259.0
DP 1.707987 244.0
DP 1.764920 247.0
DP 1.821853 266.0
DP 1.878786 286.0
DP 1.935719 308.0
DP 1.992651 358.0
DP 2.049584 405.0
DP 2.106517 400.0
DP 2.163450 412.0
DP 2.220383 431.0
DP 2.277316 402.0
DP 2.334249 444.0
DP 2.391182 441.0
DP 2.448115 469.0
DP 2.505048 407.0
DP 2.561981 382.0
DP 2.618913 341.0
DP 2.675846 312.0
DP 2.732779 320.0
DP 2.789712 290.0
DP 2.846645 268.0
DP 2.903578 269.0
DP 2.960511 294.0
DP 3.017444 266.0
DP 3.074377 242.0
DP 3.131310 254.0
DP 3.188242 268.0
DP 3.245175 229.0
DP 3.302108 218.0
DP 3.359041 204.0
DP 3.415974 190.0
DP 3.472907 209.0
DP 3.529840 197.0
DP 3.586773 239.0
DP 3.643706 241.0
DP 3.700639 261.0
DP 3.757571 296.0
DP 3.814504 360.0
DP 3.871437 437.0
DP 3.928370 434.0
DP 3.985303 436.0
DP 4.042236 457.0
DP 4.099169 393.0
DP 4.156102 371.0
DP 4.213035 325.0
DP 4.269967 314.0
DP 4.326900 261.0
DP 4.383833 238.0
DP 4.440766 204.0
DP 4.497699 197.0
DP 4.554632 161.0
DP 4.611565 190.0
DP 4.668498 159.0
DP 4.725431 169.0
DP 4.782364 151.0
DP 4.839297 160.0
DP 4.896229 163.0
DP 4.953162 189.0
DP 5.010095 160.0
DP 5.067028 216.0
DP 5.123961 166.0
DP 5.180894 158.0
DP 5.237827 166.0
DP 5.294760 138.0
DP 5.351693 129.0
DP 5.408626 118.0
DP 5.465558 105.0
DP 5.522491 81.0
DP 5.579424 92.0
DP 5.636357 66.0
DP 5.693290 59.0
DP 5.750223 58.0
DP 5.807156 76.0
DP 5.864089 56.0
DP 5.921022 57.0
DP 5.977955 54.0
DP 6.034887 56.0
DP 6.091820 46.0
DP 6.148753 66.0
DP 6.205686 63.0
DP 6.262619 57.0
DP 6.319552 39.0
DP 6.376485 55.0
DP 6.433418 64.0
DP 6.490351 45.0
DP 6.547284 41.0
DP 6.604216 35.0
DP 6.661149 45.0
DP 6.718082 32.0
DP 6.775015 40.0
DP 6.831948 34.0
DP 6.888881 29.0
DP 6.945814 55.0
DP 7.002747 39.0
DP 7.059680 34.0
DP 7.116613 37.0
DP 7.173545 30.0
DP 7.230478 57.0
DP 7.287411 27.0
DP 7.344344 32.0
DP 7.401277 28.0
DP 7.458210 21.0
DP 7.515143 9.0
DP 7.572076 22.0
DP 7.629009 21.0
DP 7.685942 26.0
DP 7.742874 18.0
DP 7.799807 20.0
DP 7.856740 24.0
DP 7.913673 13.0
DP 7.970606 9.0
DP 8.027539 3.0
DP 8.084472 28.0
DP 8.141405 12.0
DP 8.198338 11.0
DP 8.255270 15.0
DP 8.312203 12.0
DP 8.369136 19.0
DP 8.426069 14.0
DP 8.483002 7.0
DP 8.539935 17.0
DP 8.596868 4.0
DP 8.653801 9.0
DP 8.710734 12.0
DP 8.767667 21.0
DP 8.824600 0.0
DP 8.881532 0.0
DP 8.938465 3.0
DP 8.995398 11.0
DP 9.052331 3.0
DP 9.109264 0.0
DP 9.166197 13.0
DP 9.223130 0.0
DP 9.280063 15.0
DP 9.336996 0.0
DP 9.393929 16.0
DP 9.450861 1.0
DP 9.507794 5.0
DP 9.564727 20.0
DP 9.621660 5.0
DP 9.678593 5.0
DP 9.735526 13.0
DP 9.792459 15.0
DP 9.849392 8.0
DP 9.906325 6.0
DP 9.963258 6.0
DP 10.020190 7.0
DP 10.077123 2.0
DP 10.134056 16.0
DP 10.190989 7.0
DP 10.247922 4.0
DP 10.304855 0.0
DP 10.361788 9.0
DP 10.418721 0.0
DP 10.475654 11.0
DP 10.532587 1.0
DP 10.589519 5.0
DP 10.646452 13.0
DP 10.703385 2.0
DP 10.760318 0.0
DP 10.817251 3.0
DP 10.874184 19.0
DP 10.931117 13.0
DP 10.988050 0.0
DP 11.044983 7.0
DP 11.101916 13.0
DP 11.158848 5.0
DP 11.215781 15.0
DP 11.272714 13.0
DP 11.329647 0.0
DP 11.386580 5.0
DP 11.443513 7.0
DP 11.500446 0.0
DP 11.557379 18.0
DP 11.614312 5.0
DP 11.671245 11.0
DP 11.728177 7.0
DP 11.785110 4.0
DP 11.842043 2.0
DP 11.898976 0.0
DP 11.955909 0.0
DP 12.012842 9.0
DP 12.069775 0.0
DP 12.126708 7.0
DP 12.183641 13.0
DP 12.240573 0.0
DP 12.297506 0.0
DP 12.354439 11.0
DP 12.411372 0.0
DP 12.468305 3.0
DP 12.525238 0.0
DP 12.582171 0.0
DP 12.639104 0.0
DP 12.696037 0.0
DP 12.752970 0.0
DP 12.809902 5.0
DP 12.866835 0.0
DP 12.923768 8.0
DP 12.980701 0.0
DP 13.037634 10.0
DP 13.094567 0.0
DP 13.151500 0.0
DP 13.208433 16.0
DP 13.265366 0.0
EN
