# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 1.03490 s. Light curve stops at 8.20290 s. Time resolution is 0.02688 s. There are 306 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector b1 with energy in [250.0,40000.0] keV.
IP LINLIN
DP 0.000000 9.0
DP 0.026880 9.0
DP 0.053761 0.0
DP 0.080642 0.0
DP 0.107522 0.0
DP 0.134402 4.0
DP 0.161283 0.0
DP 0.188163 0.0
DP 0.215044 0.0
DP 0.241924 0.0
DP 0.268805 8.0
DP 0.295686 7.0
DP 0.322566 0.0
DP 0.349446 1.0
DP 0.376327 0.0
DP 0.403207 3.0
DP 0.430088 2.0
DP 0.456968 1.0
DP 0.483849 0.0
DP 0.510730 0.0
DP 0.537610 12.0
DP 0.564491 0.0
DP 0.591371 0.0
DP 0.618251 2.0
DP 0.645132 0.0
DP 0.672013 0.0
DP 0.698893 3.0
DP 0.725774 12.0
DP 0.752654 0.0
DP 0.779535 0.0
DP 0.806415 6.0
DP 0.833295 0.0
DP 0.860176 9.0
DP 0.887057 3.0
DP 0.913937 5.0
DP 0.940818 6.0
DP 0.967698 0.0
DP 0.994579 0.0
DP 1.021459 5.0
DP 1.048339 0.0
DP 1.075220 10.0
DP 1.102101 3.0
DP 1.128981 16.0
DP 1.155862 6.0
DP 1.182742 16.0
DP 1.209623 21.0
DP 1.236503 0.0
DP 1.263383 6.0
DP 1.290264 12.0
DP 1.317144 0.0
DP 1.344025 7.0
DP 1.370906 17.0
DP 1.397786 11.0
DP 1.424667 11.0
DP 1.451547 5.0
DP 1.478428 4.0
DP 1.505308 21.0
DP 1.532189 21.0
DP 1.559069 28.0
DP 1.585950 26.0
DP 1.612830 0.0
DP 1.639711 24.0
DP 1.666591 15.0
DP 1.693472 17.0
DP 1.720352 0.0
DP 1.747232 11.0
DP 1.774113 4.0
DP 1.800994 1.0
DP 1.827874 0.0
DP 1.854755 9.0
DP 1.881635 0.0
DP 1.908516 12.0
DP 1.935396 15.0
DP 1.962277 3.0
DP 1.989157 7.0
DP 2.016038 16.0
DP 2.042918 3.0
DP 2.069799 16.0
DP 2.096679 16.0
DP 2.123560 0.0
DP 2.150440 18.0
DP 2.177320 10.0
DP 2.204201 22.0
DP 2.231082 16.0
DP 2.257962 6.0
DP 2.284842 9.0
DP 2.311723 17.0
DP 2.338604 6.0
DP 2.365484 7.0
DP 2.392365 21.0
DP 2.419245 0.0
DP 2.446125 20.0
DP 2.473006 24.0
DP 2.499887 17.0
DP 2.526767 17.0
DP 2.553648 12.0
DP 2.580528 7.0
DP 2.607409 8.0
DP 2.634289 3.0
DP 2.661170 0.0
DP 2.688050 4.0
DP 2.714931 6.0
DP 2.741811 1.0
DP 2.768692 7.0
DP 2.795572 11.0
DP 2.822453 13.0
DP 2.849333 5.0
DP 2.876213 0.0
DP 2.903094 4.0
DP 2.929975 0.0
DP 2.956855 5.0
DP 2.983736 2.0
DP 3.010616 3.0
DP 3.037497 5.0
DP 3.064377 0.0
DP 3.091258 2.0
DP 3.118138 11.0
DP 3.145019 0.0
DP 3.171899 8.0
DP 3.198780 4.0
DP 3.225660 6.0
DP 3.252541 15.0
DP 3.279421 0.0
DP 3.306302 0.0
DP 3.333182 0.0
DP 3.360063 0.0
DP 3.386943 0.0
DP 3.413824 7.0
DP 3.440704 0.0
DP 3.467585 3.0
DP 3.494465 13.0
DP 3.521346 2.0
DP 3.548226 0.0
DP 3.575106 0.0
DP 3.601987 1.0
