# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 1.00067 s. Light curve stops at 16.36067 s. Time resolution is 0.08701 s. There are 189 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector n6 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 0.0
DP 0.087014 8.0
DP 0.174029 0.0
DP 0.261043 0.0
DP 0.348058 0.0
DP 0.435072 0.0
DP 0.522086 0.0
DP 0.609101 0.0
DP 0.696115 0.0
DP 0.783130 10.0
DP 0.870144 9.0
DP 0.957158 106.0
DP 1.044173 210.0
DP 1.131187 330.0
DP 1.218202 437.0
DP 1.305216 734.0
DP 1.392230 817.0
DP 1.479245 768.0
DP 1.566259 677.0
DP 1.653274 636.0
DP 1.740288 625.0
DP 1.827302 467.0
DP 1.914317 358.0
DP 2.001331 348.0
DP 2.088346 311.0
DP 2.175360 361.0
DP 2.262374 517.0
DP 2.349389 583.0
DP 2.436403 772.0
DP 2.523418 682.0
DP 2.610432 477.0
DP 2.697446 367.0
DP 2.784461 285.0
DP 2.871475 243.0
DP 2.958490 176.0
DP 3.045504 151.0
DP 3.132518 147.0
DP 3.219533 142.0
DP 3.306547 96.0
DP 3.393562 98.0
DP 3.480576 81.0
DP 3.567590 94.0
DP 3.654605 94.0
DP 3.741619 58.0
DP 3.828634 83.0
DP 3.915648 88.0
DP 4.002662 113.0
DP 4.089677 84.0
DP 4.176691 72.0
DP 4.263706 97.0
DP 4.350720 95.0
DP 4.437734 88.0
DP 4.524749 108.0
DP 4.611763 120.0
DP 4.698778 116.0
DP 4.785792 131.0
DP 4.872806 165.0
DP 4.959821 141.0
DP 5.046835 113.0
DP 5.133850 132.0
DP 5.220864 109.0
DP 5.307878 111.0
DP 5.394893 116.0
DP 5.481907 128.0
DP 5.568922 111.0
DP 5.655936 110.0
DP 5.742950 99.0
DP 5.829965 78.0
DP 5.916979 101.0
DP 6.003994 82.0
DP 6.091008 81.0
DP 6.178022 70.0
DP 6.265037 70.0
DP 6.352051 84.0
DP 6.439066 108.0
DP 6.526080 110.0
DP 6.613094 101.0
DP 6.700109 117.0
DP 6.787123 125.0
DP 6.874138 100.0
DP 6.961152 78.0
DP 7.048166 116.0
DP 7.135181 129.0
DP 7.222195 119.0
DP 7.309210 105.0
DP 7.396224 118.0
DP 7.483238 111.0
DP 7.570253 102.0
DP 7.657267 214.0
DP 7.744282 358.0
DP 7.831296 387.0
DP 7.918310 369.0
DP 8.005325 319.0
DP 8.092339 316.0
DP 8.179354 327.0
DP 8.266368 305.0
DP 8.353382 271.0
DP 8.440397 231.0
DP 8.527411 213.0
DP 8.614426 210.0
DP 8.701440 190.0
DP 8.788454 198.0
DP 8.875469 148.0
DP 8.962483 143.0
DP 9.049498 152.0
DP 9.136512 129.0
DP 9.223526 113.0
DP 9.310541 104.0
DP 9.397555 109.0
DP 9.484570 117.0
DP 9.571584 94.0
DP 9.658598 85.0
DP 9.745613 74.0
DP 9.832627 72.0
DP 9.919642 80.0
DP 10.006656 53.0
DP 10.093670 77.0
DP 10.180685 51.0
DP 10.267699 29.0
DP 10.354714 50.0
DP 10.441728 38.0
DP 10.528742 41.0
DP 10.615757 46.0
DP 10.702771 25.0
DP 10.789786 41.0
DP 10.876800 50.0
DP 10.963814 13.0
DP 11.050829 35.0
DP 11.137843 33.0
DP 11.224858 38.0
DP 11.311872 18.0
DP 11.398886 16.0
DP 11.485901 26.0
DP 11.572915 16.0
DP 11.659930 37.0
DP 11.746944 5.0
DP 11.833958 13.0
DP 11.920973 16.0
DP 12.007987 13.0
DP 12.095002 17.0
DP 12.182016 16.0
DP 12.269030 7.0
DP 12.356045 25.0
DP 12.443059 18.0
DP 12.530074 16.0
DP 12.617088 12.0
DP 12.704102 12.0
DP 12.791117 0.0
DP 12.878131 0.0
DP 12.965146 11.0
DP 13.052160 15.0
DP 13.139174 24.0
DP 13.226189 12.0
DP 13.313203 4.0
DP 13.400218 0.0
DP 13.487232 8.0
DP 13.574246 12.0
DP 13.661261 14.0
DP 13.748275 4.0
DP 13.835290 14.0
DP 13.922304 5.0
DP 14.009318 9.0
DP 14.096333 15.0
DP 14.183347 6.0
DP 14.270362 2.0
DP 14.357376 0.0
DP 14.444390 36.0
DP 14.531405 0.0
DP 14.618419 9.0
DP 14.705434 0.0
DP 14.792448 10.0
DP 14.879462 0.0
DP 14.966477 7.0
DP 15.053491 23.0
DP 15.140506 20.0
DP 15.227520 14.0
DP 15.314534 4.0
DP 15.401549 8.0
DP 15.488563 24.0
DP 15.575578 5.0
DP 15.662592 0.0
DP 15.749606 5.0
DP 15.836621 11.0
DP 15.923635 4.0
DP 16.010650 25.0
DP 16.097664 24.0
DP 16.184678 0.0
DP 16.271693 0.0
DP 16.358707 0.0
EN
