# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 1.00067 s. Light curve stops at 16.36067 s. Time resolution is 0.08701 s. There are 189 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector n7 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 7.0
DP 0.087014 9.0
DP 0.174029 15.0
DP 0.261043 5.0
DP 0.348058 0.0
DP 0.435072 11.0
DP 0.522086 0.0
DP 0.609101 19.0
DP 0.696115 0.0
DP 0.783130 16.0
DP 0.870144 39.0
DP 0.957158 83.0
DP 1.044173 198.0
DP 1.131187 274.0
DP 1.218202 345.0
DP 1.305216 573.0
DP 1.392230 735.0
DP 1.479245 623.0
DP 1.566259 565.0
DP 1.653274 525.0
DP 1.740288 485.0
DP 1.827302 384.0
DP 1.914317 332.0
DP 2.001331 244.0
DP 2.088346 253.0
DP 2.175360 268.0
DP 2.262374 458.0
DP 2.349389 445.0
DP 2.436403 711.0
DP 2.523418 582.0
DP 2.610432 407.0
DP 2.697446 317.0
DP 2.784461 239.0
DP 2.871475 204.0
DP 2.958490 162.0
DP 3.045504 158.0
DP 3.132518 109.0
DP 3.219533 121.0
DP 3.306547 88.0
DP 3.393562 72.0
DP 3.480576 76.0
DP 3.567590 72.0
DP 3.654605 86.0
DP 3.741619 70.0
DP 3.828634 97.0
DP 3.915648 74.0
DP 4.002662 74.0
DP 4.089677 63.0
DP 4.176691 83.0
DP 4.263706 96.0
DP 4.350720 73.0
DP 4.437734 83.0
DP 4.524749 75.0
DP 4.611763 73.0
DP 4.698778 94.0
DP 4.785792 96.0
DP 4.872806 117.0
DP 4.959821 124.0
DP 5.046835 112.0
DP 5.133850 113.0
DP 5.220864 104.0
DP 5.307878 96.0
DP 5.394893 89.0
DP 5.481907 88.0
DP 5.568922 96.0
DP 5.655936 95.0
DP 5.742950 79.0
DP 5.829965 57.0
DP 5.916979 69.0
DP 6.003994 79.0
DP 6.091008 70.0
DP 6.178022 79.0
DP 6.265037 66.0
DP 6.352051 81.0
DP 6.439066 59.0
DP 6.526080 80.0
DP 6.613094 108.0
DP 6.700109 108.0
DP 6.787123 94.0
DP 6.874138 86.0
DP 6.961152 107.0
DP 7.048166 96.0
DP 7.135181 97.0
DP 7.222195 104.0
DP 7.309210 85.0
DP 7.396224 79.0
DP 7.483238 78.0
DP 7.570253 122.0
DP 7.657267 160.0
DP 7.744282 253.0
DP 7.831296 285.0
DP 7.918310 315.0
DP 8.005325 307.0
DP 8.092339 264.0
DP 8.179354 209.0
DP 8.266368 239.0
DP 8.353382 204.0
DP 8.440397 194.0
DP 8.527411 186.0
DP 8.614426 201.0
DP 8.701440 171.0
DP 8.788454 141.0
DP 8.875469 134.0
DP 8.962483 133.0
DP 9.049498 99.0
DP 9.136512 93.0
DP 9.223526 97.0
DP 9.310541 80.0
DP 9.397555 86.0
DP 9.484570 95.0
DP 9.571584 80.0
DP 9.658598 57.0
DP 9.745613 58.0
DP 9.832627 77.0
DP 9.919642 63.0
DP 10.006656 44.0
DP 10.093670 57.0
DP 10.180685 54.0
DP 10.267699 38.0
DP 10.354714 36.0
DP 10.441728 51.0
DP 10.528742 35.0
DP 10.615757 27.0
DP 10.702771 42.0
DP 10.789786 31.0
DP 10.876800 13.0
DP 10.963814 37.0
DP 11.050829 49.0
DP 11.137843 21.0
DP 11.224858 5.0
DP 11.311872 24.0
DP 11.398886 24.0
DP 11.485901 21.0
DP 11.572915 15.0
DP 11.659930 21.0
DP 11.746944 8.0
DP 11.833958 20.0
DP 11.920973 19.0
DP 12.007987 7.0
DP 12.095002 19.0
DP 12.182016 21.0
DP 12.269030 22.0
DP 12.356045 4.0
DP 12.443059 22.0
DP 12.530074 4.0
DP 12.617088 18.0
DP 12.704102 14.0
DP 12.791117 17.0
DP 12.878131 10.0
DP 12.965146 8.0
DP 13.052160 15.0
DP 13.139174 0.0
DP 13.226189 17.0
DP 13.313203 0.0
DP 13.400218 9.0
DP 13.487232 0.0
DP 13.574246 3.0
DP 13.661261 22.0
DP 13.748275 0.0
DP 13.835290 5.0
DP 13.922304 6.0
DP 14.009318 0.0
DP 14.096333 0.0
DP 14.183347 21.0
DP 14.270362 3.0
DP 14.357376 0.0
DP 14.444390 8.0
DP 14.531405 19.0
DP 14.618419 12.0
DP 14.705434 19.0
DP 14.792448 18.0
DP 14.879462 0.0
DP 14.966477 0.0
DP 15.053491 0.0
DP 15.140506 12.0
DP 15.227520 3.0
DP 15.314534 0.0
DP 15.401549 10.0
DP 15.488563 3.0
DP 15.575578 7.0
DP 15.662592 5.0
DP 15.749606 10.0
DP 15.836621 12.0
DP 15.923635 0.0
DP 16.010650 15.0
DP 16.097664 0.0
DP 16.184678 2.0
DP 16.271693 19.0
DP 16.358707 5.0
EN
