# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.48161 s. Light curve stops at 37.98161 s. Time resolution is 0.13760 s. There are 277 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector n6 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 20.0
DP 0.137602 46.0
DP 0.275204 38.0
DP 0.412806 46.0
DP 0.550408 71.0
DP 0.688010 62.0
DP 0.825612 60.0
DP 0.963214 72.0
DP 1.100816 54.0
DP 1.238418 93.0
DP 1.376020 68.0
DP 1.513622 86.0
DP 1.651224 146.0
DP 1.788826 162.0
DP 1.926428 171.0
DP 2.064030 282.0
DP 2.201632 323.0
DP 2.339234 459.0
DP 2.476836 538.0
DP 2.614438 546.0
DP 2.752040 643.0
DP 2.889642 687.0
DP 3.027244 740.0
DP 3.164846 733.0
DP 3.302448 704.0
DP 3.440050 782.0
DP 3.577652 951.0
DP 3.715254 992.0
DP 3.852856 1013.0
DP 3.990458 971.0
DP 4.128060 1008.0
DP 4.265662 994.0
DP 4.403264 1064.0
DP 4.540866 1161.0
DP 4.678468 1241.0
DP 4.816070 1228.0
DP 4.953672 1091.0
DP 5.091274 996.0
DP 5.228876 912.0
DP 5.366478 880.0
DP 5.504080 758.0
DP 5.641682 745.0
DP 5.779284 718.0
DP 5.916886 747.0
DP 6.054488 728.0
DP 6.192090 685.0
DP 6.329692 683.0
DP 6.467294 622.0
DP 6.604896 666.0
DP 6.742498 569.0
DP 6.880100 612.0
DP 7.017702 647.0
DP 7.155304 701.0
DP 7.292906 796.0
DP 7.430508 755.0
DP 7.568110 732.0
DP 7.705712 686.0
DP 7.843314 671.0
DP 7.980916 634.0
DP 8.118518 618.0
DP 8.256120 680.0
DP 8.393722 553.0
DP 8.531324 602.0
DP 8.668926 683.0
DP 8.806528 751.0
DP 8.944130 707.0
DP 9.081732 664.0
DP 9.219334 684.0
DP 9.356936 663.0
DP 9.494538 677.0
DP 9.632140 590.0
DP 9.769742 705.0
DP 9.907344 536.0
DP 10.044946 889.0
DP 10.182548 964.0
DP 10.320150 894.0
DP 10.457752 1464.0
DP 10.595354 1048.0
DP 10.732956 791.0
DP 10.870558 715.0
DP 11.008160 694.0
DP 11.145762 743.0
DP 11.283364 923.0
DP 11.420966 846.0
DP 11.558568 998.0
DP 11.696170 931.0
DP 11.833772 882.0
DP 11.971374 966.0
DP 12.108976 850.0
DP 12.246578 876.0
DP 12.384180 794.0
DP 12.521782 762.0
DP 12.659384 605.0
DP 12.796986 518.0
DP 12.934588 360.0
DP 13.072190 352.0
DP 13.209792 308.0
DP 13.347394 314.0
DP 13.484996 356.0
DP 13.622598 559.0
DP 13.760200 471.0
DP 13.897802 344.0
DP 14.035404 305.0
DP 14.173006 328.0
DP 14.310608 266.0
DP 14.448210 165.0
DP 14.585812 169.0
DP 14.723414 156.0
DP 14.861016 138.0
DP 14.998618 163.0
DP 15.136220 181.0
DP 15.273822 134.0
DP 15.411424 119.0
DP 15.549026 160.0
DP 15.686628 116.0
DP 15.824230 175.0
DP 15.961832 192.0
DP 16.099434 215.0
DP 16.237036 196.0
DP 16.374638 233.0
DP 16.512240 271.0
DP 16.649842 262.0
DP 16.787444 266.0
DP 16.925046 189.0
DP 17.062648 149.0
DP 17.200250 145.0
DP 17.337852 91.0
DP 17.475454 74.0
DP 17.613056 95.0
DP 17.750658 95.0
DP 17.888260 72.0
DP 18.025862 65.0
DP 18.163464 61.0
DP 18.301066 84.0
DP 18.438668 65.0
DP 18.576270 46.0
DP 18.713872 51.0
DP 18.851474 65.0
DP 18.989076 67.0
DP 19.126678 52.0
DP 19.264280 35.0
DP 19.401882 47.0
DP 19.539484 56.0
DP 19.677086 79.0
DP 19.814688 20.0
DP 19.952290 28.0
DP 20.089892 41.0
DP 20.227494 38.0
DP 20.365096 41.0
DP 20.502698 54.0
DP 20.640300 42.0
DP 20.777902 59.0
DP 20.915504 32.0
DP 21.053106 29.0
DP 21.190708 26.0
DP 21.328310 40.0
DP 21.465912 48.0
DP 21.603514 48.0
DP 21.741116 27.0
DP 21.878718 44.0
DP 22.016320 24.0
DP 22.153922 0.0
DP 22.291524 34.0
DP 22.429126 59.0
DP 22.566728 31.0
DP 22.704330 33.0
DP 22.841932 35.0
DP 22.979534 19.0
DP 23.117136 36.0
DP 23.254738 21.0
DP 23.392340 47.0
DP 23.529942 33.0
DP 23.667544 26.0
DP 23.805146 18.0
DP 23.942748 17.0
DP 24.080350 44.0
DP 24.217952 15.0
DP 24.355554 8.0
DP 24.493156 8.0
DP 24.630758 20.0
DP 24.768360 5.0
DP 24.905962 13.0
DP 25.043564 22.0
DP 25.181166 28.0
DP 25.318768 18.0
DP 25.456370 18.0
DP 25.593972 1.0
DP 25.731574 46.0
DP 25.869176 10.0
DP 26.006778 20.0
DP 26.144380 25.0
DP 26.281982 29.0
DP 26.419584 28.0
DP 26.557186 16.0
DP 26.694788 17.0
DP 26.832390 40.0
DP 26.969992 18.0
DP 27.107594 10.0
DP 27.245196 21.0
DP 27.382798 27.0
DP 27.520400 8.0
DP 27.658002 37.0
DP 27.795604 16.0
DP 27.933206 22.0
DP 28.070808 4.0
DP 28.208410 17.0
DP 28.346012 17.0
DP 28.483614 22.0
DP 28.621216 4.0
DP 28.758818 16.0
DP 28.896420 0.0
DP 29.034022 11.0
DP 29.171624 10.0
DP 29.309226 38.0
DP 29.446828 0.0
DP 29.584430 17.0
DP 29.722032 7.0
DP 29.859634 18.0
DP 29.997236 2.0
DP 30.134838 14.0
DP 30.272440 12.0
DP 30.410042 17.0
DP 30.547644 31.0
DP 30.685246 9.0
DP 30.822848 0.0
DP 30.960450 7.0
DP 31.098052 9.0
DP 31.235654 13.0
DP 31.373256 6.0
DP 31.510858 8.0
DP 31.648460 0.0
DP 31.786062 23.0
DP 31.923664 21.0
DP 32.061266 5.0
