# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 1.05538 s. Light curve stops at 63.51938 s. Time resolution is 0.12416 s. There are 513 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector n2 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 29.0
DP 0.124162 37.0
DP 0.248324 20.0
DP 0.372486 42.0
DP 0.496648 58.0
DP 0.620810 60.0
DP 0.744972 37.0
DP 0.869134 67.0
DP 0.993296 59.0
DP 1.117458 41.0
DP 1.241620 40.0
DP 1.365782 55.0
DP 1.489944 60.0
DP 1.614106 37.0
DP 1.738268 60.0
DP 1.862430 35.0
DP 1.986592 41.0
DP 2.110754 65.0
DP 2.234916 57.0
DP 2.359078 45.0
DP 2.483240 40.0
DP 2.607402 35.0
DP 2.731564 36.0
DP 2.855726 39.0
DP 2.979888 32.0
DP 3.104050 44.0
DP 3.228212 45.0
DP 3.352374 34.0
DP 3.476536 67.0
DP 3.600698 28.0
DP 3.724860 26.0
DP 3.849022 21.0
DP 3.973184 33.0
DP 4.097346 35.0
DP 4.221508 32.0
DP 4.345670 32.0
DP 4.469832 41.0
DP 4.593994 46.0
DP 4.718156 34.0
DP 4.842318 53.0
DP 4.966480 29.0
DP 5.090642 26.0
DP 5.214804 28.0
DP 5.338966 36.0
DP 5.463128 55.0
DP 5.587290 28.0
DP 5.711452 38.0
DP 5.835614 39.0
DP 5.959776 25.0
DP 6.083938 45.0
DP 6.208100 31.0
DP 6.332262 15.0
DP 6.456424 41.0
DP 6.580586 35.0
DP 6.704748 32.0
DP 6.828910 17.0
DP 6.953072 37.0
DP 7.077234 28.0
DP 7.201396 33.0
DP 7.325558 14.0
DP 7.449720 31.0
DP 7.573882 48.0
DP 7.698044 23.0
DP 7.822206 42.0
DP 7.946368 36.0
DP 8.070530 13.0
DP 8.194692 44.0
DP 8.318854 21.0
DP 8.443016 32.0
DP 8.567178 26.0
DP 8.691340 14.0
DP 8.815502 52.0
DP 8.939664 11.0
DP 9.063826 29.0
DP 9.187988 23.0
DP 9.312150 42.0
DP 9.436312 21.0
DP 9.560474 30.0
DP 9.684636 29.0
DP 9.808798 33.0
DP 9.932960 50.0
DP 10.057122 36.0
DP 10.181284 22.0
DP 10.305446 17.0
DP 10.429608 4.0
DP 10.553770 13.0
DP 10.677932 25.0
DP 10.802094 35.0
DP 10.926256 15.0
DP 11.050418 20.0
DP 11.174580 24.0
DP 11.298742 15.0
DP 11.422904 16.0
DP 11.547066 16.0
DP 11.671228 0.0
DP 11.795390 12.0
DP 11.919552 32.0
