# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at -0.02847 s. Light curve stops at 13.28353 s. Time resolution is 0.05693 s. There are 234 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector n8 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 56.0
DP 0.056933 67.0
DP 0.113866 101.0
DP 0.170799 168.0
DP 0.227732 205.0
DP 0.284665 251.0
DP 0.341597 246.0
DP 0.398530 272.0
DP 0.455463 284.0
DP 0.512396 243.0
DP 0.569329 234.0
DP 0.626262 190.0
DP 0.683195 194.0
DP 0.740128 242.0
DP 0.797061 224.0
DP 0.853994 226.0
DP 0.910926 247.0
DP 0.967859 281.0
DP 1.024792 319.0
DP 1.081725 312.0
DP 1.138658 324.0
DP 1.195591 342.0
DP 1.252524 326.0
DP 1.309457 400.0
DP 1.366390 345.0
DP 1.423323 346.0
DP 1.480255 380.0
DP 1.537188 358.0
DP 1.594121 376.0
DP 1.651054 409.0
DP 1.707987 413.0
DP 1.764920 452.0
DP 1.821853 456.0
DP 1.878786 450.0
DP 1.935719 528.0
DP 1.992651 591.0
DP 2.049584 630.0
DP 2.106517 605.0
DP 2.163450 607.0
DP 2.220383 685.0
DP 2.277316 645.0
DP 2.334249 672.0
DP 2.391182 699.0
DP 2.448115 678.0
DP 2.505048 608.0
DP 2.561981 611.0
DP 2.618913 558.0
DP 2.675846 521.0
DP 2.732779 504.0
DP 2.789712 489.0
DP 2.846645 485.0
DP 2.903578 495.0
DP 2.960511 437.0
DP 3.017444 463.0
DP 3.074377 440.0
DP 3.131310 360.0
DP 3.188242 379.0
DP 3.245175 396.0
DP 3.302108 392.0
DP 3.359041 366.0
DP 3.415974 361.0
DP 3.472907 297.0
DP 3.529840 337.0
DP 3.586773 342.0
DP 3.643706 379.0
DP 3.700639 431.0
DP 3.757571 523.0
DP 3.814504 567.0
DP 3.871437 705.0
DP 3.928370 776.0
DP 3.985303 790.0
DP 4.042236 677.0
DP 4.099169 648.0
DP 4.156102 614.0
DP 4.213035 550.0
DP 4.269967 535.0
DP 4.326900 489.0
DP 4.383833 447.0
DP 4.440766 397.0
DP 4.497699 346.0
DP 4.554632 310.0
DP 4.611565 314.0
DP 4.668498 259.0
DP 4.725431 283.0
DP 4.782364 259.0
DP 4.839297 314.0
DP 4.896229 312.0
DP 4.953162 295.0
DP 5.010095 313.0
DP 5.067028 323.0
DP 5.123961 315.0
DP 5.180894 294.0
DP 5.237827 250.0
DP 5.294760 238.0
DP 5.351693 219.0
DP 5.408626 227.0
DP 5.465558 184.0
DP 5.522491 183.0
DP 5.579424 175.0
DP 5.636357 138.0
DP 5.693290 132.0
DP 5.750223 125.0
DP 5.807156 116.0
DP 5.864089 94.0
DP 5.921022 118.0
DP 5.977955 104.0
DP 6.034887 99.0
DP 6.091820 94.0
DP 6.148753 112.0
DP 6.205686 106.0
DP 6.262619 100.0
DP 6.319552 109.0
DP 6.376485 87.0
DP 6.433418 102.0
DP 6.490351 77.0
DP 6.547284 86.0
DP 6.604216 90.0
DP 6.661149 81.0
DP 6.718082 81.0
DP 6.775015 67.0
DP 6.831948 79.0
DP 6.888881 67.0
DP 6.945814 62.0
DP 7.002747 88.0
DP 7.059680 85.0
DP 7.116613 78.0
DP 7.173545 60.0
DP 7.230478 59.0
DP 7.287411 63.0
DP 7.344344 54.0
DP 7.401277 74.0
DP 7.458210 52.0
DP 7.515143 44.0
DP 7.572076 43.0
DP 7.629009 42.0
DP 7.685942 46.0
DP 7.742874 47.0
DP 7.799807 49.0
DP 7.856740 23.0
DP 7.913673 26.0
DP 7.970606 36.0
DP 8.027539 21.0
DP 8.084472 36.0
DP 8.141405 49.0
DP 8.198338 25.0
DP 8.255270 34.0
DP 8.312203 20.0
DP 8.369136 22.0
DP 8.426069 30.0
DP 8.483002 21.0
DP 8.539935 30.0
DP 8.596868 29.0
DP 8.653801 25.0
DP 8.710734 25.0
DP 8.767667 29.0
DP 8.824600 11.0
DP 8.881532 24.0
DP 8.938465 16.0
DP 8.995398 24.0
DP 9.052331 17.0
DP 9.109264 19.0
DP 9.166197 11.0
DP 9.223130 1.0
DP 9.280063 14.0
DP 9.336996 21.0
DP 9.393929 22.0
DP 9.450861 25.0
DP 9.507794 14.0
DP 9.564727 12.0
DP 9.621660 14.0
DP 9.678593 16.0
DP 9.735526 7.0
DP 9.792459 2.0
DP 9.849392 16.0
DP 9.906325 6.0
DP 9.963258 7.0
DP 10.020190 9.0
DP 10.077123 7.0
DP 10.134056 18.0
DP 10.190989 18.0
DP 10.247922 13.0
DP 10.304855 13.0
DP 10.361788 0.0
DP 10.418721 11.0
DP 10.475654 4.0
DP 10.532587 16.0
DP 10.589519 15.0
DP 10.646452 14.0
DP 10.703385 18.0
DP 10.760318 0.0
DP 10.817251 15.0
