# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.05984 s. Light curve stops at 1.08384 s. Time resolution is 0.01088 s. There are 101 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector n4 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 1.0
DP 0.010880 7.0
DP 0.021760 5.0
DP 0.032640 6.0
DP 0.043520 2.0
DP 0.054400 3.0
DP 0.065280 8.0
DP 0.076160 13.0
DP 0.087040 9.0
DP 0.097920 21.0
DP 0.108800 19.0
DP 0.119680 12.0
DP 0.130560 13.0
DP 0.141440 20.0
DP 0.152320 8.0
DP 0.163200 8.0
DP 0.174080 16.0
DP 0.184960 20.0
DP 0.195840 27.0
DP 0.206720 14.0
DP 0.217600 19.0
DP 0.228480 13.0
DP 0.239360 17.0
DP 0.250240 18.0
DP 0.261120 10.0
DP 0.272000 8.0
DP 0.282880 17.0
DP 0.293760 16.0
DP 0.304640 18.0
DP 0.315520 7.0
DP 0.326400 20.0
DP 0.337280 13.0
DP 0.348160 15.0
DP 0.359040 21.0
DP 0.369920 19.0
DP 0.380800 14.0
DP 0.391680 13.0
DP 0.402560 31.0
DP 0.413440 11.0
DP 0.424320 11.0
DP 0.435200 21.0
DP 0.446080 24.0
DP 0.456960 12.0
DP 0.467840 11.0
DP 0.478720 22.0
DP 0.489600 18.0
DP 0.500480 16.0
DP 0.511360 7.0
DP 0.522240 10.0
DP 0.533120 7.0
DP 0.544000 14.0
DP 0.554880 8.0
DP 0.565760 18.0
DP 0.576640 14.0
DP 0.587520 24.0
DP 0.598400 8.0
DP 0.609280 13.0
DP 0.620160 17.0
DP 0.631040 11.0
DP 0.641920 16.0
DP 0.652800 3.0
DP 0.663680 30.0
DP 0.674560 15.0
DP 0.685440 19.0
DP 0.696320 7.0
DP 0.707200 12.0
DP 0.718080 1.0
DP 0.728960 3.0
DP 0.739840 3.0
DP 0.750720 1.0
DP 0.761600 5.0
DP 0.772480 3.0
DP 0.783360 12.0
DP 0.794240 10.0
DP 0.805120 0.0
DP 0.816000 5.0
DP 0.826880 10.0
DP 0.837760 0.0
DP 0.848640 14.0
DP 0.859520 11.0
DP 0.870400 17.0
DP 0.881280 16.0
DP 0.892160 11.0
DP 0.903040 16.0
DP 0.913920 13.0
DP 0.924800 5.0
DP 0.935680 3.0
DP 0.946560 12.0
DP 0.957440 1.0
DP 0.968320 2.0
DP 0.979200 15.0
DP 0.990080 9.0
DP 1.000960 3.0
DP 1.011840 13.0
DP 1.022720 9.0
DP 1.033600 2.0
DP 1.044480 4.0
DP 1.055360 0.0
DP 1.066240 0.0
DP 1.077120 0.0
DP 1.088000 2.0
EN
