# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 1.05538 s. Light curve stops at 63.51938 s. Time resolution is 0.12416 s. There are 513 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector b0 with energy in [250.0,40000.0] keV.
IP LINLIN
DP 0.000000 45.0
DP 0.124162 83.0
DP 0.248324 68.0
DP 0.372486 81.0
DP 0.496648 85.0
DP 0.620810 54.0
DP 0.744972 77.0
DP 0.869134 67.0
DP 0.993296 79.0
DP 1.117458 57.0
DP 1.241620 62.0
DP 1.365782 88.0
DP 1.489944 35.0
DP 1.614106 64.0
DP 1.738268 79.0
DP 1.862430 52.0
DP 1.986592 32.0
DP 2.110754 73.0
DP 2.234916 48.0
DP 2.359078 86.0
DP 2.483240 40.0
DP 2.607402 56.0
DP 2.731564 64.0
DP 2.855726 39.0
DP 2.979888 67.0
DP 3.104050 57.0
DP 3.228212 66.0
DP 3.352374 58.0
DP 3.476536 28.0
DP 3.600698 44.0
DP 3.724860 76.0
DP 3.849022 86.0
DP 3.973184 42.0
DP 4.097346 33.0
DP 4.221508 54.0
DP 4.345670 49.0
DP 4.469832 33.0
DP 4.593994 37.0
DP 4.718156 18.0
DP 4.842318 77.0
DP 4.966480 84.0
DP 5.090642 26.0
DP 5.214804 77.0
DP 5.338966 53.0
DP 5.463128 27.0
DP 5.587290 68.0
DP 5.711452 27.0
DP 5.835614 85.0
DP 5.959776 43.0
DP 6.083938 33.0
DP 6.208100 43.0
DP 6.332262 38.0
DP 6.456424 49.0
DP 6.580586 39.0
DP 6.704748 42.0
DP 6.828910 41.0
DP 6.953072 26.0
DP 7.077234 40.0
DP 7.201396 38.0
DP 7.325558 51.0
DP 7.449720 20.0
DP 7.573882 41.0
DP 7.698044 29.0
DP 7.822206 33.0
DP 7.946368 42.0
DP 8.070530 1.0
DP 8.194692 35.0
DP 8.318854 83.0
DP 8.443016 49.0
DP 8.567178 48.0
DP 8.691340 40.0
DP 8.815502 24.0
DP 8.939664 58.0
DP 9.063826 46.0
DP 9.187988 51.0
DP 9.312150 30.0
DP 9.436312 49.0
DP 9.560474 50.0
DP 9.684636 44.0
DP 9.808798 46.0
DP 9.932960 38.0
DP 10.057122 22.0
DP 10.181284 16.0
DP 10.305446 52.0
DP 10.429608 52.0
DP 10.553770 22.0
DP 10.677932 31.0
DP 10.802094 49.0
DP 10.926256 3.0
DP 11.050418 55.0
DP 11.174580 33.0
DP 11.298742 21.0
DP 11.422904 11.0
DP 11.547066 39.0
DP 11.671228 49.0
DP 11.795390 0.0
DP 11.919552 39.0
DP 12.043714 17.0
DP 12.167876 25.0
DP 12.292038 33.0
DP 12.416200 60.0
DP 12.540362 49.0
DP 12.664524 34.0
DP 12.788686 42.0
DP 12.912848 35.0
DP 13.037010 31.0
DP 13.161172 18.0
DP 13.285334 10.0
DP 13.409496 48.0
DP 13.533658 18.0
DP 13.657820 36.0
DP 13.781982 16.0
DP 13.906144 36.0
DP 14.030306 31.0
DP 14.154468 22.0
DP 14.278630 26.0
DP 14.402792 16.0
DP 14.526954 37.0
DP 14.651116 56.0
DP 14.775278 38.0
DP 14.899440 24.0
DP 15.023602 53.0
DP 15.147764 1.0
DP 15.271926 35.0
DP 15.396088 38.0
DP 15.520250 22.0
DP 15.644412 8.0
DP 15.768574 0.0
DP 15.892736 5.0
DP 16.016898 19.0
DP 16.141060 22.0
DP 16.265222 40.0
DP 16.389384 4.0
DP 16.513546 32.0
DP 16.637708 4.0
DP 16.761870 26.0
DP 16.886032 20.0
DP 17.010194 9.0
DP 17.134356 12.0
DP 17.258518 32.0
DP 17.382680 19.0
DP 17.506842 33.0
DP 17.631004 36.0
DP 17.755166 23.0
DP 17.879328 7.0
DP 18.003490 14.0
DP 18.127652 34.0
DP 18.251814 0.0
DP 18.375976 0.0
DP 18.500138 23.0
DP 18.624300 14.0
DP 18.748462 25.0
DP 18.872624 27.0
DP 18.996786 4.0
DP 19.120948 30.0
DP 19.245110 13.0
DP 19.369272 23.0
DP 19.493434 0.0
DP 19.617596 12.0
DP 19.741758 24.0
DP 19.865920 21.0
DP 19.990082 3.0
DP 20.114244 25.0
DP 20.238406 33.0
DP 20.362568 37.0
DP 20.486730 12.0
DP 20.610892 35.0
DP 20.735054 0.0
DP 20.859216 5.0
DP 20.983378 39.0
DP 21.107540 0.0
DP 21.231702 16.0
DP 21.355864 8.0
DP 21.480026 1.0
DP 21.604188 17.0
DP 21.728350 13.0
DP 21.852512 23.0
DP 21.976674 12.0
DP 22.100836 11.0
DP 22.224998 0.0
DP 22.349160 30.0
DP 22.473322 1.0
DP 22.597484 24.0
DP 22.721646 30.0
DP 22.845808 11.0
DP 22.969970 0.0
DP 23.094132 15.0
DP 23.218294 0.0
DP 23.342456 16.0
DP 23.466618 0.0
DP 23.590780 0.0
DP 23.714942 2.0
DP 23.839104 2.0
DP 23.963266 13.0
DP 24.087428 30.0
DP 24.211590 17.0
DP 24.335752 0.0
DP 24.459914 16.0
DP 24.584076 25.0
DP 24.708238 0.0
DP 24.832400 8.0
DP 24.956562 38.0
DP 25.080724 0.0
DP 25.204886 16.0
DP 25.329048 0.0
DP 25.453210 43.0
DP 25.577372 0.0
DP 25.701534 17.0
DP 25.825696 0.0
DP 25.949858 0.0
DP 26.074020 5.0
DP 26.198182 7.0
DP 26.322344 11.0
DP 26.446506 0.0
DP 26.570668 7.0
DP 26.694830 0.0
DP 26.818992 0.0
DP 26.943154 35.0
DP 27.067316 0.0
DP 27.191478 5.0
DP 27.315640 0.0
DP 27.439802 15.0
DP 27.563964 0.0
DP 27.688126 19.0
DP 27.812288 0.0
DP 27.936450 34.0
DP 28.060612 31.0
DP 28.184774 6.0
DP 28.308936 0.0
DP 28.433098 0.0
DP 28.557260 10.0
DP 28.681422 14.0
DP 28.805584 0.0
DP 28.929746 12.0
DP 29.053908 0.0
DP 29.178070 16.0
DP 29.302232 0.0
DP 29.426394 0.0
DP 29.550556 30.0
DP 29.674718 24.0
DP 29.798880 4.0
DP 29.923042 0.0
DP 30.047204 0.0
DP 30.171366 9.0
DP 30.295528 38.0
DP 30.419690 14.0
DP 30.543852 0.0
DP 30.668014 21.0
DP 30.792176 16.0
DP 30.916338 0.0
DP 31.040500 0.0
DP 31.164662 34.0
DP 31.288824 35.0
DP 31.412986 11.0
DP 31.537148 31.0
DP 31.661310 24.0
DP 31.785472 65.0
DP 31.909634 118.0
DP 32.033796 121.0
DP 32.157958 132.0
DP 32.282120 115.0
DP 32.406282 185.0
DP 32.530444 217.0
DP 32.654606 229.0
DP 32.778768 230.0
DP 32.902930 265.0
DP 33.027092 273.0
DP 33.151254 244.0
DP 33.275416 248.0
DP 33.399578 300.0
DP 33.523740 309.0
DP 33.647902 292.0
DP 33.772064 292.0
DP 33.896226 347.0
DP 34.020388 322.0
DP 34.144550 342.0
DP 34.268712 308.0
DP 34.392874 306.0
DP 34.517036 311.0
DP 34.641198 288.0
DP 34.765360 211.0
DP 34.889522 254.0
DP 35.013684 258.0
DP 35.137846 368.0
DP 35.262008 299.0
DP 35.386170 375.0
DP 35.510332 437.0
DP 35.634494 458.0
DP 35.758656 369.0
DP 35.882818 398.0
DP 36.006980 388.0
DP 36.131142 388.0
DP 36.255304 328.0
DP 36.379466 326.0
DP 36.503628 274.0
DP 36.627790 346.0
DP 36.751952 293.0
DP 36.876114 221.0
DP 37.000276 267.0
DP 37.124438 217.0
DP 37.248600 193.0
DP 37.372762 212.0
DP 37.496924 171.0
DP 37.621086 213.0
DP 37.745248 205.0
DP 37.869410 200.0
DP 37.993572 165.0
DP 38.117734 197.0
DP 38.241896 153.0
DP 38.366058 167.0
DP 38.490220 140.0
DP 38.614382 159.0
DP 38.738544 116.0
DP 38.862706 130.0
DP 38.986868 147.0
DP 39.111030 155.0
DP 39.235192 123.0
DP 39.359354 53.0
DP 39.483516 87.0
DP 39.607678 45.0
DP 39.731840 89.0
DP 39.856002 31.0
DP 39.980164 45.0
DP 40.104326 71.0
DP 40.228488 24.0
DP 40.352650 31.0
DP 40.476812 22.0
DP 40.600974 37.0
DP 40.725136 42.0
DP 40.849298 1.0
DP 40.973460 0.0
DP 41.097622 4.0
DP 41.221784 0.0
DP 41.345946 31.0
DP 41.470108 0.0
DP 41.594270 17.0
DP 41.718432 37.0
DP 41.842594 24.0
DP 41.966756 41.0
DP 42.090918 28.0
