# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 1.05538 s. Light curve stops at 63.51938 s. Time resolution is 0.12416 s. There are 513 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector n5 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 47.0
DP 0.124162 38.0
DP 0.248324 31.0
DP 0.372486 49.0
DP 0.496648 55.0
DP 0.620810 34.0
DP 0.744972 67.0
DP 0.869134 52.0
DP 0.993296 62.0
DP 1.117458 47.0
DP 1.241620 72.0
DP 1.365782 58.0
DP 1.489944 58.0
DP 1.614106 49.0
DP 1.738268 38.0
DP 1.862430 18.0
DP 1.986592 46.0
DP 2.110754 54.0
DP 2.234916 30.0
DP 2.359078 44.0
DP 2.483240 57.0
DP 2.607402 45.0
DP 2.731564 39.0
DP 2.855726 56.0
DP 2.979888 24.0
DP 3.104050 54.0
DP 3.228212 52.0
DP 3.352374 25.0
DP 3.476536 45.0
DP 3.600698 26.0
DP 3.724860 43.0
DP 3.849022 23.0
DP 3.973184 26.0
DP 4.097346 47.0
DP 4.221508 36.0
DP 4.345670 12.0
DP 4.469832 17.0
DP 4.593994 23.0
DP 4.718156 47.0
DP 4.842318 35.0
DP 4.966480 48.0
DP 5.090642 36.0
DP 5.214804 48.0
DP 5.338966 22.0
DP 5.463128 32.0
DP 5.587290 30.0
DP 5.711452 22.0
DP 5.835614 41.0
DP 5.959776 29.0
DP 6.083938 29.0
DP 6.208100 40.0
DP 6.332262 39.0
DP 6.456424 37.0
DP 6.580586 27.0
DP 6.704748 38.0
DP 6.828910 43.0
DP 6.953072 38.0
DP 7.077234 42.0
DP 7.201396 31.0
DP 7.325558 65.0
DP 7.449720 30.0
DP 7.573882 20.0
DP 7.698044 43.0
DP 7.822206 67.0
DP 7.946368 23.0
DP 8.070530 50.0
DP 8.194692 39.0
DP 8.318854 34.0
DP 8.443016 38.0
DP 8.567178 38.0
DP 8.691340 32.0
DP 8.815502 27.0
DP 8.939664 34.0
DP 9.063826 36.0
DP 9.187988 36.0
DP 9.312150 27.0
DP 9.436312 0.0
DP 9.560474 9.0
DP 9.684636 31.0
DP 9.808798 28.0
DP 9.932960 13.0
DP 10.057122 32.0
DP 10.181284 33.0
DP 10.305446 11.0
DP 10.429608 9.0
DP 10.553770 21.0
DP 10.677932 17.0
DP 10.802094 9.0
DP 10.926256 29.0
DP 11.050418 24.0
DP 11.174580 24.0
DP 11.298742 18.0
DP 11.422904 13.0
DP 11.547066 49.0
DP 11.671228 16.0
DP 11.795390 24.0
DP 11.919552 20.0
DP 12.043714 22.0
DP 12.167876 34.0
DP 12.292038 13.0
DP 12.416200 15.0
DP 12.540362 34.0
DP 12.664524 24.0
DP 12.788686 31.0
DP 12.912848 22.0
DP 13.037010 41.0
DP 13.161172 47.0
DP 13.285334 21.0
DP 13.409496 8.0
DP 13.533658 20.0
DP 13.657820 24.0
DP 13.781982 32.0
DP 13.906144 4.0
DP 14.030306 23.0
DP 14.154468 11.0
DP 14.278630 0.0
DP 14.402792 8.0
DP 14.526954 0.0
DP 14.651116 27.0
DP 14.775278 19.0
DP 14.899440 15.0
DP 15.023602 18.0
DP 15.147764 1.0
DP 15.271926 26.0
DP 15.396088 14.0
DP 15.520250 32.0
DP 15.644412 5.0
DP 15.768574 13.0
DP 15.892736 7.0
DP 16.016898 17.0
DP 16.141060 0.0
DP 16.265222 12.0
DP 16.389384 16.0
DP 16.513546 3.0
DP 16.637708 0.0
DP 16.761870 5.0
DP 16.886032 0.0
DP 17.010194 0.0
DP 17.134356 3.0
DP 17.258518 0.0
DP 17.382680 0.0
DP 17.506842 23.0
DP 17.631004 38.0
DP 17.755166 14.0
DP 17.879328 31.0
DP 18.003490 16.0
DP 18.127652 0.0
DP 18.251814 34.0
DP 18.375976 16.0
DP 18.500138 21.0
DP 18.624300 26.0
DP 18.748462 6.0
DP 18.872624 23.0
DP 18.996786 2.0
DP 19.120948 0.0
DP 19.245110 16.0
DP 19.369272 0.0
DP 19.493434 8.0
DP 19.617596 0.0
DP 19.741758 15.0
DP 19.865920 13.0
DP 19.990082 9.0
DP 20.114244 10.0
DP 20.238406 17.0
DP 20.362568 2.0
DP 20.486730 10.0
DP 20.610892 5.0
DP 20.735054 35.0
DP 20.859216 9.0
DP 20.983378 11.0
DP 21.107540 14.0
DP 21.231702 14.0
DP 21.355864 41.0
DP 21.480026 12.0
DP 21.604188 0.0
DP 21.728350 31.0
DP 21.852512 15.0
DP 21.976674 14.0
DP 22.100836 12.0
DP 22.224998 0.0
DP 22.349160 20.0
DP 22.473322 31.0
DP 22.597484 27.0
DP 22.721646 8.0
DP 22.845808 11.0
