# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.06496 s. Light curve stops at 0.57696 s. Time resolution is 0.00448 s. There are 130 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector n0 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 0.0
DP 0.004480 0.0
DP 0.008960 3.0
DP 0.013440 0.0
DP 0.017920 0.0
DP 0.022400 0.0
DP 0.026880 1.0
DP 0.031360 0.0
DP 0.035840 0.0
DP 0.040320 0.0
DP 0.044800 1.0
DP 0.049280 0.0
DP 0.053760 2.0
DP 0.058240 12.0
DP 0.062720 28.0
DP 0.067200 40.0
DP 0.071680 20.0
DP 0.076160 37.0
DP 0.080640 39.0
DP 0.085120 111.0
DP 0.089600 149.0
DP 0.094080 112.0
DP 0.098560 93.0
DP 0.103040 77.0
DP 0.107520 50.0
DP 0.112000 67.0
DP 0.116480 46.0
DP 0.120960 52.0
DP 0.125440 47.0
DP 0.129920 84.0
DP 0.134400 66.0
DP 0.138880 63.0
DP 0.143360 61.0
DP 0.147840 36.0
DP 0.152320 51.0
DP 0.156800 28.0
DP 0.161280 39.0
DP 0.165760 28.0
DP 0.170240 18.0
DP 0.174720 9.0
DP 0.179200 8.0
DP 0.183680 11.0
DP 0.188160 12.0
DP 0.192640 10.0
DP 0.197120 4.0
DP 0.201600 8.0
DP 0.206080 6.0
DP 0.210560 5.0
DP 0.215040 11.0
DP 0.219520 4.0
DP 0.224000 2.0
DP 0.228480 5.0
DP 0.232960 3.0
DP 0.237440 2.0
DP 0.241920 8.0
DP 0.246400 5.0
DP 0.250880 0.0
DP 0.255360 0.0
DP 0.259840 2.0
DP 0.264320 1.0
DP 0.268800 0.0
DP 0.273280 0.0
DP 0.277760 5.0
DP 0.282240 0.0
DP 0.286720 0.0
DP 0.291200 0.0
DP 0.295680 0.0
DP 0.300160 2.0
DP 0.304640 0.0
DP 0.309120 3.0
DP 0.313600 4.0
DP 0.318080 1.0
DP 0.322560 0.0
DP 0.327040 10.0
DP 0.331520 4.0
DP 0.336000 4.0
DP 0.340480 8.0
DP 0.344960 0.0
DP 0.349440 6.0
DP 0.353920 2.0
DP 0.358400 2.0
DP 0.362880 1.0
DP 0.367360 4.0
DP 0.371840 7.0
DP 0.376320 9.0
DP 0.380800 4.0
DP 0.385280 0.0
DP 0.389760 10.0
DP 0.394240 5.0
DP 0.398720 11.0
DP 0.403200 12.0
DP 0.407680 6.0
DP 0.412160 10.0
DP 0.416640 10.0
DP 0.421120 11.0
DP 0.425600 7.0
DP 0.430080 2.0
DP 0.434560 5.0
DP 0.439040 6.0
DP 0.443520 9.0
DP 0.448000 9.0
DP 0.452480 2.0
DP 0.456960 8.0
DP 0.461440 4.0
DP 0.465920 0.0
DP 0.470400 4.0
DP 0.474880 9.0
DP 0.479360 1.0
DP 0.483840 6.0
DP 0.488320 2.0
DP 0.492800 4.0
DP 0.497280 0.0
DP 0.501760 0.0
DP 0.506240 2.0
DP 0.510720 4.0
DP 0.515200 1.0
DP 0.519680 4.0
DP 0.524160 0.0
DP 0.528640 5.0
DP 0.533120 1.0
DP 0.537600 0.0
DP 0.542080 0.0
DP 0.546560 7.0
DP 0.551040 3.0
DP 0.555520 0.0
DP 0.560000 5.0
DP 0.564480 0.0
DP 0.568960 0.0
DP 0.573440 0.0
DP 0.577920 0.0
EN
