# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 1.02914 s. Light curve stops at 8.94914 s. Time resolution is 0.03072 s. There are 292 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector n8 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 0.0
DP 0.030721 5.0
DP 0.061441 0.0
DP 0.092162 0.0
DP 0.122882 2.0
DP 0.153602 0.0
DP 0.184323 0.0
DP 0.215043 0.0
DP 0.245764 5.0
DP 0.276485 10.0
DP 0.307205 0.0
DP 0.337925 3.0
DP 0.368646 5.0
DP 0.399366 0.0
DP 0.430087 0.0
DP 0.460808 1.0
DP 0.491528 8.0
DP 0.522248 0.0
DP 0.552969 10.0
DP 0.583689 10.0
DP 0.614410 4.0
DP 0.645130 0.0
DP 0.675851 0.0
DP 0.706571 2.0
DP 0.737292 0.0
DP 0.768012 0.0
DP 0.798733 0.0
DP 0.829453 2.0
DP 0.860174 0.0
DP 0.890894 28.0
DP 0.921615 7.0
DP 0.952336 19.0
DP 0.983056 27.0
DP 1.013776 24.0
DP 1.044497 34.0
DP 1.075217 39.0
DP 1.105938 66.0
DP 1.136659 61.0
DP 1.167379 59.0
DP 1.198099 95.0
DP 1.228820 61.0
DP 1.259540 86.0
DP 1.290261 61.0
DP 1.320981 71.0
DP 1.351702 76.0
DP 1.382422 88.0
DP 1.413143 80.0
DP 1.443863 85.0
DP 1.474584 83.0
DP 1.505304 82.0
DP 1.536025 97.0
DP 1.566745 88.0
DP 1.597466 91.0
DP 1.628186 100.0
DP 1.658907 82.0
DP 1.689627 83.0
DP 1.720348 115.0
DP 1.751068 132.0
DP 1.781789 109.0
DP 1.812509 118.0
DP 1.843230 138.0
DP 1.873950 156.0
DP 1.904671 156.0
DP 1.935391 153.0
DP 1.966112 152.0
DP 1.996832 133.0
DP 2.027553 164.0
DP 2.058273 142.0
DP 2.088994 198.0
DP 2.119714 284.0
DP 2.150435 331.0
DP 2.181156 374.0
DP 2.211876 351.0
DP 2.242596 423.0
DP 2.273317 462.0
DP 2.304037 512.0
DP 2.334758 543.0
DP 2.365479 589.0
DP 2.396199 631.0
DP 2.426919 663.0
DP 2.457640 685.0
DP 2.488360 642.0
DP 2.519081 610.0
DP 2.549802 630.0
DP 2.580522 625.0
DP 2.611242 648.0
DP 2.641963 647.0
DP 2.672683 622.0
DP 2.703404 580.0
DP 2.734125 568.0
DP 2.764845 570.0
DP 2.795565 548.0
DP 2.826286 550.0
DP 2.857006 483.0
DP 2.887727 420.0
DP 2.918448 429.0
DP 2.949168 361.0
DP 2.979888 380.0
DP 3.010609 373.0
DP 3.041329 320.0
DP 3.072050 297.0
DP 3.102771 294.0
DP 3.133491 276.0
DP 3.164211 255.0
DP 3.194932 231.0
DP 3.225652 249.0
DP 3.256373 216.0
DP 3.287094 204.0
DP 3.317814 202.0
DP 3.348534 157.0
DP 3.379255 163.0
DP 3.409975 147.0
DP 3.440696 135.0
DP 3.471417 122.0
DP 3.502137 118.0
DP 3.532857 114.0
DP 3.563578 108.0
DP 3.594298 146.0
DP 3.625019 119.0
DP 3.655740 141.0
DP 3.686460 120.0
DP 3.717180 148.0
DP 3.747901 148.0
DP 3.778621 197.0
DP 3.809342 225.0
DP 3.840063 207.0
DP 3.870783 245.0
DP 3.901503 294.0
DP 3.932224 298.0
DP 3.962944 293.0
